Company,# of posting,Skill
HUSYS CONSULTING LIMITED,2,"Computer science, Memory management, Eclipse, Postgresql, Agile, HTML...#####JAVA, Business Analysts, development, Architects, XML, design, MySQL, PHP..."
Hetero Drugs Limited,5,"email marketing, software information technology business development, bd...#####email marketing, software information technology business development, bd...#####SAP Fiori, Odata, CSS, JQuer, SAPUI5, XML, HTML5, MVC Framework, Javascript...#####C#, CSS, Web Technologies, ASP.Net, .Net, HTML, MVC, JQuery, Ajax, SQL#####SAP Fiori, Odata, CSS, JQuer, SAPUI5, XML, HTML5, MVC Framework, Javascript..."
High Noon Consulting Pvt Ltd,1,"SAP, Software packages, Test scripts, Analytical, Billing..."
Humint Global,1,"Business Analyst, Senior Management, Data Modeling, Business Analysis..."
Hyderabad Race Club,2,"Computer science, management information system, INFORMATION TECHNOLOGY...#####Computer science, management information system, INFORMATION TECHNOLOGY..."
IB Services & Technologies,2,"Computer science, MS SQL, Data conversion, SSRS...#####control and assurance methodologies, project management, FP and A..."
IBM India Pvt. Limited,1,"IntelliJ, Serialization, Java, Maven, Hibernate, DAO, Aop, JSP, Application..."
IMPJobs.com,1,"C++, SAP, Project management, Moss, Flex, Software Engineer 2, Windows, WCF..."
INITIATEFIRST INFORMATION SERVICES PRIVATE LIMITED,1,"hive, Application design, Architecture, spark, Hadoop, Cloud..."
INTERFACE CONSULTANCY SERVICES,1,"software skills, good communication skills, IT Skills, desktops skills..."
IPP Global Technologies Pvt Ltd,1,"Graphics, Computer science, C++, User interface designing..."
IQVIA,3,"Statistical programming, GCP, Social media, Programming, Healthcare...#####Statistical programming, GCP, Social media, Programming, Healthcare...#####Analyst, Service level, Project management, Social media, Healthcare..."
ISB,2,"Cloud computing, Data analysis, Social media, Machine learning, Engineering...#####Statistical programming, Computer science, Data analysis..."
IT Niche India Pvt. Ltd,8,"coding, soft skills, information technology, wap, english, cms, php, adobe,...#####c#, server, development, soft skills, hiring, information technology...#####, server, development, soft skills, wordpress, cms, joomla, ajax...#####indesign, dreamweaver, graphic designing, php, photoshop, web development...#####c#, server, development, cms, HTML, Windows, tools, Joomla, DHTML, sql...#####Drupal, jQuery, XML, Wordpress, Javascript, PHP, HTML, Photoshop, Joomla...#####server, development, CMS, it, Joomla, SQL, Drupal, database, jQuery...#####c#, server, development, soft skills, stores, cms, specification, joomla..."
Indmax IT Services Pvt Ltd,1,"Communication Skills, B Tech Fresher, Graduate Trainee, Software Trainee..."
Inovies Consulting Pvt Ltd,1,"cold calling, information technology sales..."
Inplenion International AG,1,"Computer science, Technical Expert, Hyperion, Social media, Consulting..."
